Category,Movie,Name,Winner,Year
Actress in a Leading Role,Still Alice,Julianne Moore,Won,2015
Actress in a Leading Role,"Two Days, One Night",Marion Cotillard,Lost,2015
Actress in a Leading Role,The Theory of Everything,Felicity Jones,Lost,2015
Actress in a Leading Role,Gone Girl,Rosamund Pike,Lost,2015
Actress in a Leading Role,Wild,Reese Witherspoon,Lost,2015
Actress in a Supporting Role,Boyhood,Patricia Arquette,Won,2015
Actress in a Supporting Role,Wild,Laura Dern,Lost,2015
Actress in a Supporting Role,The Imitation Game,Keira Knightley,Lost,2015
Actress in a Supporting Role,Birdman or (The Unexpected Virtue of Ignorance),Emma Stone,Lost,2015
Actress in a Supporting Role,Into the Woods,Meryl Streep,Lost,2015
Animated Feature Film,Big Hero 6,"Don Hall, Chris Williams and Roy Conli",Won,2015
Animated Feature Film,The Boxtrolls,"Anthony Stacchi, Graham Annable and Travis Knight",Lost,2015
Animated Feature Film,How to Train Your Dragon 2,Dean DeBlois and Bonnie Arnold,Lost,2015
Animated Feature Film,Song of the Sea,Tomm Moore and Paul Young,Lost,2015
Animated Feature Film,The Tale of the Princess Kaguya,Isao Takahata and Yoshiaki Nishimura,Lost,2015
Cinematography,Birdman or (The Unexpected Virtue of Ignorance),Emmanuel Lubezki,Won,2015
Cinematography,The Grand Budapest Hotel,Robert Yeoman,Lost,2015
Cinematography,Ida,Łukasz Żal and Ryszard Lenczewski,Lost,2015
Cinematography,Mr. Turner,Dick Pope,Lost,2015
Cinematography,Unbroken,Roger Deakins,Lost,2015
Costume Design,The Grand Budapest Hotel,Milena Canonero,Won,2015
Costume Design,Inherent Vice,Mark Bridges,Lost,2015
Costume Design,Into the Woods,Colleen Atwood,Lost,2015
Costume Design,Maleficent,Anna B. Sheppard,Lost,2015
Costume Design,Mr. Turner,Jacqueline Durran,Lost,2015
Directing,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,Won,2015
Directing,Boyhood,Richard Linklater,Lost,2015
Directing,Foxcatcher,Bennett Miller,Lost,2015
Directing,The Grand Budapest Hotel,Wes Anderson,Lost,2015
Directing,The Imitation Game,Morten Tyldum,Lost,2015
Documentary (Feature),CitizenFour,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky",Won,2015
Documentary (Feature),Finding Vivian Maier,John Maloof and Charlie Siskel,Lost,2015
Documentary (Feature),Last Days in Vietnam,Rory Kennedy and Keven McAlester,Lost,2015
Documentary (Feature),The Salt of the Earth,"Wim Wenders, Juliano Ribeiro Salgado and David Rosier",Lost,2015
Documentary (Feature),Virunga,Orlando von Einsiedel and Joanna Natasegara,Lost,2015
Documentary (Short Subject),Crisis Hotline: Veterans Press 1,Ellen Goosenberg Kent and Dana Perry,Won,2015
Documentary (Short Subject),Joanna,Aneta Kopacz,Lost,2015
Documentary (Short Subject),Our Curse,Tomasz Śliwiński and Maciej Ślesicki,Lost,2015
Documentary (Short Subject),The Reaper (La Parka),Gabriel Serra Arguello,Lost,2015
Documentary (Short Subject),White Earth,J. Christian Jensen,Lost,2015
Film Editing,Whiplash,Tom Cross,Won,2015
Film Editing,American Sniper,Joel Cox and Gary D. Roach,Lost,2015
Film Editing,Boyhood,Sandra Adair,Lost,2015
Film Editing,The Grand Budapest Hotel,Barney Pilling,Lost,2015
Film Editing,The Imitation Game,William Goldenberg,Lost,2015
Foreign Language Film,Ida,Poland,Won,2015
Foreign Language Film,Leviathan,Russia,Lost,2015
Foreign Language Film,Tangerines,Estonia,Lost,2015
Foreign Language Film,Timbuktu,Mauritania,Lost,2015
Foreign Language Film,Wild Tales,Argentina,Lost,2015
Makeup and Hairstyling,The Grand Budapest Hotel,Frances Hannon and Mark Coulier,Won,2015
Makeup and Hairstyling,Foxcatcher,Bill Corso and Dennis Liddiard,Lost,2015
Makeup and Hairstyling,Guardians of the Galaxy,Elizabeth Yianni-Georgiou and David White,Lost,2015
Music (Original Score),The Grand Budapest Hotel,Alexandre Desplat,Won,2015
Music (Original Score),The Imitation Game,Alexandre Desplat,Lost,2015
Music (Original Score),Interstellar,Hans Zimmer,Lost,2015
Music (Original Score),Mr. Turner,Gary Yershon,Lost,2015
Music (Original Score),The Theory of Everything,Jóhann Jóhannsson,Lost,2015
Music (Original Song),Selma,“Glory” from Selma; Music and Lyric by John Stephens and Lonnie Lynn,Won,2015
Music (Original Song),The Lego Movie,“Everything Is Awesome” from The Lego Movie; Music and Lyric by Shawn Patterson,Lost,2015
Music (Original Song),Beyond the Lights,“Grateful” from Beyond the Lights; Music and Lyric by Diane Warren,Lost,2015
Music (Original Song),Glen Campbell…I’ll Be Me,“I’m Not Gonna Miss You” from Glen Campbell…I’ll Be Me; Music and Lyric by Glen Campbell and Julian Raymond,Lost,2015
Music (Original Song),Begin Again,“Lost Stars” from Begin Again; Music and Lyric by Gregg Alexander and Danielle Brisebois,Lost,2015
Best Picture,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",Won,2015
Best Picture,American Sniper,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers",Lost,2015
Best Picture,Boyhood,"Richard Linklater and Cathleen Sutherland, Producers",Lost,2015
Best Picture,The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers",Lost,2015
Best Picture,The Imitation Game,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers",Lost,2015
Best Picture,Selma,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers",Lost,2015
Best Picture,The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers",Lost,2015
Best Picture,Whiplash,"Jason Blum, Helen Estabrook and David Lancaster, Producers",Lost,2015
Production Design,The Grand Budapest Hotel,Production Design: Adam Stockhausen; Set Decoration: Anna Pinnock,Won,2015
Production Design,The Imitation Game,Production Design: Maria Djurkovic; Set Decoration: Tatiana Macdonald,Lost,2015
Production Design,Interstellar,Production Design: Nathan Crowley; Set Decoration: Gary Fettis,Lost,2015
Production Design,Into the Woods,Production Design: Dennis Gassner; Set Decoration: Anna Pinnock,Lost,2015
Production Design,Mr. Turner,Production Design: Suzie Davies; Set Decoration: Charlotte Watts,Lost,2015
Short Film (Animated),Feast,Patrick Osborne and Kristina Reed,Won,2015
Short Film (Animated),The Bigger Picture,Daisy Jacobs and Christopher Hees,Lost,2015
Short Film (Animated),The Dam Keeper,Robert Kondo and Dice Tsutsumi,Lost,2015
Short Film (Animated),Me and My Moulton,Torill Kove,Lost,2015
Short Film (Animated),A Single Life,Joris Oprins,Lost,2015
Short Film (Live Action),The Phone Call,Mat Kirkby and James Lucas,Won,2015
Short Film (Live Action),Aya,Oded Binnun and Mihal Brezis,Lost,2015
Short Film (Live Action),Boogaloo and Graham,Michael Lennox and Ronan Blaney,Lost,2015
Short Film (Live Action),Butter Lamp (La Lampe Au Beurre De Yak),Hu Wei and Julien Féret,Lost,2015
Short Film (Live Action),Parvaneh,Talkhon Hamzavi and Stefan Eichenberger,Lost,2015
Sound Editing,American Sniper,Alan Robert Murray and Bub Asman,Won,2015
Sound Editing,Birdman or (The Unexpected Virtue of Ignorance),Martín Hernández and Aaron Glascock,Lost,2015
Sound Editing,The Hobbit: The Battle of the Five Armies,Brent Burge and Jason Canovas,Lost,2015
Sound Editing,Interstellar,Richard King,Lost,2015
Sound Editing,Unbroken,Becky Sullivan and Andrew DeCristofaro,Lost,2015
Sound Mixing,Whiplash,"Craig Mann, Ben Wilkins and Thomas Curley",Won,2015
Sound Mixing,American Sniper,"John Reitz, Gregg Rudloff and Walt Martin",Lost,2015
Sound Mixing,Birdman or (The Unexpected Virtue of Ignorance),"Jon Taylor, Frank A. Montaño and Thomas Varga",Lost,2015
Sound Mixing,Interstellar,"Gary A. Rizzo, Gregg Landaker and Mark Weingarten",Lost,2015
Sound Mixing,Unbroken,"Jon Taylor, Frank A. Montaño and David Lee",Lost,2015
Visual Effects,Interstellar,"Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher",Won,2015
Visual Effects,Captain America: The Winter Soldier,"Dan DeLeeuw, Russell Earl, Bryan Grill and Dan Sudick",Lost,2015
Visual Effects,Dawn of the Planet of the Apes,"Joe Letteri, Dan Lemmon, Daniel Barrett and Erik Winquist",Lost,2015
Visual Effects,Guardians of the Galaxy,"Stephane Ceretti, Nicolas Aithadi, Jonathan Fawkner and Paul Corbould",Lost,2015
Visual Effects,X-Men: Days of Future Past,"Richard Stammers, Lou Pecora, Tim Crosbie and Cameron Waldbauer",Lost,2015
Writing (Adapted Screenplay),The Imitation Game,Written by Graham Moore,Won,2015
Writing (Adapted Screenplay),American Sniper,Written by Jason Hall,Lost,2015
Writing (Adapted Screenplay),Inherent Vice,Written for the screen by Paul Thomas Anderson,Lost,2015
Writing (Adapted Screenplay),The Theory of Everything,Screenplay by Anthony McCarten,Lost,2015
Writing (Adapted Screenplay),Whiplash,Written by Damien Chazelle,Lost,2015
Writing (Original Screenplay),Birdman or (The Unexpected Virtue of Ignorance),"Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo",Won,2015
Writing (Original Screenplay),Boyhood,Written by Richard Linklater,Lost,2015
Writing (Original Screenplay),Foxcatcher,Written by E. Max Frye and Dan Futterman,Lost,2015
Writing (Original Screenplay),The Grand Budapest Hotel,Screenplay by Wes Anderson; Story by Wes Anderson & Hugo Guinness,Lost,2015
Writing (Original Screenplay),Nightcrawler,Written by Dan Gilroy,Lost,2015
Actor in a Leading Role,The Revenant,Leonardo DiCaprio,Won,2016
Actor in a Leading Role,Trumbo,Bryan Cranston,Lost,2016
Actor in a Leading Role,The Martian,Matt Damon,Lost,2016
Actor in a Leading Role,Steve Jobs,Michael Fassbender,Lost,2016
Actor in a Leading Role,The Danish Girl,Eddie Redmayne,Lost,2016
Actor in a Supporting Role,Bridge of Spies,Mark Rylance,Won,2016
Actor in a Supporting Role,The Big Short,Christian Bale,Lost,2016
Actor in a Supporting Role,The Revenant,Tom Hardy,Lost,2016
Actor in a Supporting Role,Spotlight,Mark Ruffalo,Lost,2016
Actor in a Supporting Role,Creed,Sylvester Stallone,Lost,2016
Actress in a Leading Role,Room,Brie Larson,Won,2016
Actress in a Leading Role,Carol,Cate Blanchett,Lost,2016
Actress in a Leading Role,Joy,Jennifer Lawrence,Lost,2016
Actress in a Leading Role,45 Years,Charlotte Rampling,Lost,2016
Actress in a Leading Role,Brooklyn,Saoirse Ronan,Lost,2016
Actress in a Supporting Role,The Danish Girl,Alicia Vikander,Won,2016
Actress in a Supporting Role,The Hateful Eight,Jennifer Jason Leigh,Lost,2016
Actress in a Supporting Role,Carol,Rooney Mara,Lost,2016
Actress in a Supporting Role,Spotlight,Rachel McAdams,Lost,2016
Actress in a Supporting Role,Steve Jobs,Kate Winslet,Lost,2016
Animated Feature Film,Inside Out,Pete Docter and Jonas Rivera,Won,2016
Animated Feature Film,Anomalisa,"Charlie Kaufman, Duke Johnson and Rosa Tran",Lost,2016
Animated Feature Film,Boy and the World,Alê Abreu,Lost,2016
Animated Feature Film,Shaun the Sheep Movie,Mark Burton and Richard Starzak,Lost,2016
Animated Feature Film,When Marnie Was There,Hiromasa Yonebayashi and Yoshiaki Nishimura,Lost,2016
Cinematography,The Revenant,Emmanuel Lubezki,Won,2016
Cinematography,Carol,Ed Lachman,Lost,2016
Cinematography,The Hateful Eight,Robert Richardson,Lost,2016
Cinematography,Mad Max: Fury Road,John Seale,Lost,2016
Cinematography,Sicario,Roger Deakins,Lost,2016
Costume Design,Mad Max: Fury Road,Jenny Beavan,Won,2016
Costume Design,Carol,Sandy Powell,Lost,2016
Costume Design,Cinderella,Sandy Powell,Lost,2016
Costume Design,The Danish Girl,Paco Delgado,Lost,2016
Costume Design,The Revenant,Jacqueline West,Lost,2016
Directing,The Revenant,Alejandro G. Iñárritu,Won,2016
Directing,The Big Short,Adam McKay,Lost,2016
Directing,Mad Max: Fury Road,George Miller,Lost,2016
Directing,Room,Lenny Abrahamson,Lost,2016
Directing,Spotlight,Tom McCarthy,Lost,2016
Documentary (Feature),Amy,Asif Kapadia and James Gay-Rees,Won,2016
Documentary (Feature),Cartel Land,Matthew Heineman and Tom Yellin,Lost,2016
Documentary (Feature),The Look of Silence,Joshua Oppenheimer and Signe Byrge Sørensen,Lost,2016
Documentary (Feature),"What Happened, Miss Simone?","Liz Garbus, Amy Hobby and Justin Wilkes",Lost,2016
Documentary (Feature),Winter on Fire: Ukraine’s Fight for Freedom,Evgeny Afineevsky and Den Tolmor,Lost,2016
Documentary (Short Subject),A Girl in the River: The Price of Forgiveness,Sharmeen Obaid-Chinoy,Won,2016
Documentary (Short Subject),Body Team 12,David Darg and Bryn Mooser,Lost,2016
Documentary (Short Subject),"Chau, beyond the Lines",Courtney Marsh and Jerry Franck,Lost,2016
Documentary (Short Subject),Claude Lanzmann: Spectres of the Shoah,Adam Benzine,Lost,2016
Documentary (Short Subject),Last Day of Freedom,Dee Hibbert-Jones and Nomi Talisman,Lost,2016
Film Editing,Mad Max: Fury Road,Margaret Sixel,Won,2016
Film Editing,The Big Short,Hank Corwin,Lost,2016
Film Editing,The Revenant,Stephen Mirrione,Lost,2016
Film Editing,Spotlight,Tom McArdle,Lost,2016
Film Editing,Star Wars: The Force Awakens,Maryann Brandon and Mary Jo Markey,Lost,2016
Foreign Language Film,Son of Saul,Hungary,Won,2016
Foreign Language Film,Embrace of the Serpent,Colombia,Lost,2016
Foreign Language Film,Mustang,France,Lost,2016
Foreign Language Film,Theeb,Jordan,Lost,2016
Foreign Language Film,A War,Denmark,Lost,2016
Makeup and Hairstyling,Mad Max: Fury Road,"Lesley Vanderwalt, Elka Wardega and Damian Martin",Won,2016
Makeup and Hairstyling,The 100-Year-Old Man Who Climbed out the Window and Disappeared,Love Larson and Eva von Bahr,Lost,2016
Makeup and Hairstyling,The Revenant,"Siân Grigg, Duncan Jarman and Robert Pandini",Lost,2016
Music (Original Score),The Hateful Eight,Ennio Morricone,Won,2016
Music (Original Score),Bridge of Spies,Thomas Newman,Lost,2016
Music (Original Score),Carol,Carter Burwell,Lost,2016
Music (Original Score),Sicario,Jóhann Jóhannsson,Lost,2016
Music (Original Score),Star Wars: The Force Awakens,John Williams,Lost,2016
Music (Original Song),Spectre,“Writing’s On The Wall” from Spectre; Music and Lyric by Jimmy Napes and Sam Smith,Won,2016
Music (Original Song),Fifty Shades of Grey,"“Earned It” from Fifty Shades of Grey; Music and Lyric by The Weeknd, Ahmad Balshe, Jason Quenneville and Stephan Moccio",Lost,2016
Music (Original Song),Racing Extinction,"“Manta Ray” from Racing Extinction; Music by J. Ralph, Lyric by Anohni",Lost,2016
Music (Original Song),Youth,“Simple Song #3” from Youth; Music and Lyric by David Lang,Lost,2016
Music (Original Song),The Hunting Ground,“Til It Happens To You” from The Hunting Ground; Music and Lyric by Diane Warren and Lady Gaga,Lost,2016
Best Picture,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",Won,2016
Best Picture,The Big Short,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers",Lost,2016
Best Picture,Bridge of Spies,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers",Lost,2016
Best Picture,Brooklyn,"Finola Dwyer and Amanda Posey, Producers",Lost,2016
Best Picture,Mad Max: Fury Road,"Doug Mitchell and George Miller, Producers",Lost,2016
Best Picture,The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers",Lost,2016
Best Picture,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers",Lost,2016
Best Picture,Room,"Ed Guiney, Producer",Lost,2016
Production Design,Mad Max: Fury Road,Production Design: Colin Gibson; Set Decoration: Lisa Thompson,Won,2016
Production Design,Bridge of Spies,Production Design: Adam Stockhausen; Set Decoration: Rena DeAngelo and Bernhard Henrich,Lost,2016
Production Design,The Danish Girl,Production Design: Eve Stewart; Set Decoration: Michael Standish,Lost,2016
Production Design,The Martian,Production Design: Arthur Max; Set Decoration: Celia Bobak,Lost,2016
Production Design,The Revenant,Production Design: Jack Fisk; Set Decoration: Hamish Purdy,Lost,2016
Short Film (Animated),Bear Story,Gabriel Osorio and Pato Escala,Won,2016
Short Film (Animated),Prologue,Richard Williams and Imogen Sutton,Lost,2016
Short Film (Animated),Sanjay’s Super Team,Sanjay Patel and Nicole Grindle,Lost,2016
Short Film (Animated),We Can’t Live without Cosmos,Konstantin Bronzit,Lost,2016
Short Film (Animated),World of Tomorrow,Don Hertzfeldt,Lost,2016
Short Film (Live Action),Stutterer,Benjamin Cleary and Serena Armitage,Won,2016
Short Film (Live Action),Ave Maria,Basil Khalil and Eric Dupont,Lost,2016
Short Film (Live Action),Day One,Henry Hughes,Lost,2016
Short Film (Live Action),Everything Will Be Okay (Alles Wird Gut),Patrick Vollrath,Lost,2016
Short Film (Live Action),Shok,Jamie Donoughue,Lost,2016
Sound Editing,Mad Max: Fury Road,Mark Mangini and David White,Won,2016
Sound Editing,The Martian,Oliver Tarney,Lost,2016
Sound Editing,The Revenant,Martin Hernandez and Lon Bender,Lost,2016
Sound Editing,Sicario,Alan Robert Murray,Lost,2016
Sound Editing,Star Wars: The Force Awakens,Matthew Wood and David Acord,Lost,2016
Sound Mixing,Mad Max: Fury Road,"Chris Jenkins, Gregg Rudloff and Ben Osmo",Won,2016
Sound Mixing,Bridge of Spies,"Andy Nelson, Gary Rydstrom and Drew Kunin",Lost,2016
Sound Mixing,The Martian,"Paul Massey, Mark Taylor and Mac Ruth",Lost,2016
Sound Mixing,The Revenant,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",Lost,2016
Sound Mixing,Star Wars: The Force Awakens,"Andy Nelson, Christopher Scarabosio and Stuart Wilson",Lost,2016
Visual Effects,Ex Machina,"Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett",Won,2016
Visual Effects,Mad Max: Fury Road,"Andrew Jackson, Tom Wood, Dan Oliver and Andy Williams",Lost,2016
Visual Effects,The Martian,"Richard Stammers, Anders Langlands, Chris Lawrence and Steven Warner",Lost,2016
Visual Effects,The Revenant,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",Lost,2016
Visual Effects,Star Wars: The Force Awakens,"Roger Guyett, Patrick Tubach, Neal Scanlan and Chris Corbould",Lost,2016
Writing (Adapted Screenplay),The Big Short,Screenplay by Charles Randolph and Adam McKay,Won,2016
Writing (Adapted Screenplay),Brooklyn,Screenplay by Nick Hornby,Lost,2016
Writing (Adapted Screenplay),Carol,Screenplay by Phyllis Nagy,Lost,2016
Writing (Adapted Screenplay),The Martian,Screenplay by Drew Goddard,Lost,2016
Writing (Adapted Screenplay),Room,Screenplay by Emma Donoghue,Lost,2016
Writing (Original Screenplay),Spotlight,Written by Josh Singer & Tom McCarthy,Won,2016
Writing (Original Screenplay),Bridge of Spies,Written by Matt Charman and Ethan Coen & Joel Coen,Lost,2016
Writing (Original Screenplay),Ex Machina,Written by Alex Garland,Lost,2016
Writing (Original Screenplay),Inside Out,"Screenplay by Pete Docter, Meg LeFauve, Josh Cooley; Original story by Pete Docter, Ronnie del Carmen",Lost,2016
Writing (Original Screenplay),Straight Outta Compton,Screenplay by Jonathan Herman and Andrea Berloff; Story by S. Leigh Savidge & Alan Wenkus and Andrea Berloff,Lost,2016
Actor in a Leading Role,Manchester by the Sea,Casey Affleck,Won,2017
Actor in a Leading Role,Hacksaw Ridge,Andrew Garfield,Lost,2017
Actor in a Leading Role,La La Land,Ryan Gosling,Lost,2017
Actor in a Leading Role,Captain Fantastic,Viggo Mortensen,Lost,2017
Actor in a Leading Role,Fences,Denzel Washington,Lost,2017
Actor in a Supporting Role,Moonlight,Mahershala Ali,Won,2017
Actor in a Supporting Role,Hell or High Water,Jeff Bridges,Lost,2017
Actor in a Supporting Role,Manchester by the Sea,Lucas Hedges,Lost,2017
Actor in a Supporting Role,Lion,Dev Patel,Lost,2017
Actor in a Supporting Role,Nocturnal Animals,Michael Shannon,Lost,2017
Actress in a Leading Role,La La Land,Emma Stone,Won,2017
Actress in a Leading Role,Elle,Isabelle Huppert,Lost,2017
Actress in a Leading Role,Loving,Ruth Negga,Lost,2017
Actress in a Leading Role,Jackie,Natalie Portman,Lost,2017
Actress in a Leading Role,Florence Foster Jenkins,Meryl Streep,Lost,2017
Actress in a Supporting Role,Fences,Viola Davis,Won,2017
Actress in a Supporting Role,Moonlight,Naomie Harris,Lost,2017
Actress in a Supporting Role,Lion,Nicole Kidman,Lost,2017
Actress in a Supporting Role,Hidden Figures,Octavia Spencer,Lost,2017
Actress in a Supporting Role,Manchester by the Sea,Michelle Williams,Lost,2017
Animated Feature Film,Zootopia,"Byron Howard, Rich Moore and Clark Spencer",Won,2017
Animated Feature Film,Kubo and the Two Strings,Travis Knight and Arianne Sutner,Lost,2017
Animated Feature Film,Moana,"John Musker, Ron Clements and Osnat Shurer",Lost,2017
Animated Feature Film,My Life as a Zucchini,Claude Barras and Max Karli,Lost,2017
Animated Feature Film,The Red Turtle,Michael Dudok de Wit and Toshio Suzuki,Lost,2017
Cinematography,La La Land,Linus Sandgren,Won,2017
Cinematography,Arrival,Bradford Young,Lost,2017
Cinematography,Lion,Greig Fraser,Lost,2017
Cinematography,Moonlight,James Laxton,Lost,2017
Cinematography,Silence,Rodrigo Prieto,Lost,2017
Costume Design,Fantastic Beasts and Where to Find Them,Colleen Atwood,Won,2017
Costume Design,Allied,Joanna Johnston,Lost,2017
Costume Design,Florence Foster Jenkins,Consolata Boyle,Lost,2017
Costume Design,Jackie,Madeline Fontaine,Lost,2017
Costume Design,La La Land,Mary Zophres,Lost,2017
Directing,La La Land,Damien Chazelle,Won,2017
Directing,Arrival,Denis Villeneuve,Lost,2017
Directing,Hacksaw Ridge,Mel Gibson,Lost,2017
Directing,Manchester by the Sea,Kenneth Lonergan,Lost,2017
Directing,Moonlight,Barry Jenkins,Lost,2017
Documentary (Feature),O.J.: Made in America,Ezra Edelman and Caroline Waterlow,Won,2017
Documentary (Feature),Fire at Sea,Gianfranco Rosi and Donatella Palermo,Lost,2017
Documentary (Feature),I Am Not Your Negro,"Raoul Peck, Rémi Grellety and Hébert Peck",Lost,2017
Documentary (Feature),"Life, Animated",Roger Ross Williams and Julie Goldman,Lost,2017
Documentary (Feature),13th,"Ava DuVernay, Spencer Averick and Howard Barish",Lost,2017
Documentary (Short Subject),The White Helmets,Orlando von Einsiedel and Joanna Natasegara,Won,2017
Documentary (Short Subject),Extremis,Dan Krauss,Lost,2017
Documentary (Short Subject),4.1 Miles,Daphne Matziaraki,Lost,2017
Documentary (Short Subject),Joe's Violin,Kahane Cooperman and Raphaela Neihausen,Lost,2017
Documentary (Short Subject),Watani: My Homeland,Marcel Mettelsiefen and Stephen Ellis,Lost,2017
Film Editing,Hacksaw Ridge,John Gilbert,Won,2017
Film Editing,Arrival,Joe Walker,Lost,2017
Film Editing,Hell or High Water,Jake Roberts,Lost,2017
Film Editing,La La Land,Tom Cross,Lost,2017
Film Editing,Moonlight,Nat Sanders and Joi McMillon,Lost,2017
Foreign Language Film,The Salesman,Iran,Won,2017
Foreign Language Film,Land of Mine,Denmark,Lost,2017
Foreign Language Film,A Man Called Ove,Sweden,Lost,2017
Foreign Language Film,Tanna,Australia,Lost,2017
Foreign Language Film,Toni Erdmann,Germany,Lost,2017
Makeup and Hairstyling,Suicide Squad,"Alessandro Bertolazzi, Giorgio Gregorini and Christopher Nelson",Won,2017
Makeup and Hairstyling,A Man Called Ove,Eva von Bahr and Love Larson,Lost,2017
Makeup and Hairstyling,Star Trek Beyond,Joel Harlow and Richard Alonzo,Lost,2017
Music (Original Score),La La Land,Justin Hurwitz,Won,2017
Music (Original Score),Jackie,Mica Levi,Lost,2017
Music (Original Score),Lion,Dustin O'Halloran and Hauschka,Lost,2017
Music (Original Score),Moonlight,Nicholas Britell,Lost,2017
Music (Original Score),Passengers,Thomas Newman,Lost,2017
Music (Original Song),City of Stars,from La La Land; Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul,Won,2017
Music (Original Song),Audition (The Fools Who Dream),from La La Land; Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul,Lost,2017
Music (Original Song),Can't Stop The Feeling,"from Trolls; Music and Lyric by Justin Timberlake, Max Martin and Karl Johan Schuster",Lost,2017
Music (Original Song),The Empty Chair,from Jim: The James Foley Story; Music and Lyric by J. Ralph and Sting,Lost,2017
Music (Original Song),How Far I'll Go,from Moana; Music and Lyric by Lin-Manuel Miranda,Lost,2017
